"Session","Date","Treatment","Protocol","Stage","DayNumber","Trial","ID","Latency","Reason","Scoring","Force"
239,"2024-04-15 15:05:00","CCD","AMN","POST",10,"I","DW 241",0.5,"Detection","Auto",12.82
240,"2024-04-15 15:06:00","CCD","AMN","POST",10,"I","DW 241",1.6,"Detection","Auto",36.02
241,"2024-04-15 15:06:00","CCD","AMN","POST",10,"I","DW 241",0.3,"Detection","Auto",9.08
242,"2024-04-15 15:06:00","CCD","AMN","POST",10,"I","DW 241",1.1,"Detection","Auto",24.8
243,"2024-04-15 15:06:00","CCD","AMN","POST",10,"I","DW 241",2,"Detection","Auto",45
244,"2024-04-19 15:21:00","CCD","AMN","POST",14,"I","DW 241",0.1,"Detection","Auto",3.09
245,"2024-04-19 15:21:00","CCD","AMN","POST",14,"I","DW 241",1.4,"Detection","Auto",32.28
246,"2024-04-19 15:21:00","CCD","AMN","POST",14,"I","DW 241",0.1,"Detection","Auto",3.84
247,"2024-04-19 15:21:00","CCD","AMN","POST",14,"I","DW 241",0.8,"Detection","Auto",18.06
248,"2024-04-19 15:21:00","CCD","AMN","POST",14,"I","DW 241",1.3,"Detection","Auto",30.03
249,"2024-04-19 15:21:00","CCD","AMN","POST",14,"I","DW 241",0.4,"Detection","Auto",9.83
250,"2024-04-19 15:21:00","CCD","AMN","POST",14,"C","DW 241",0.4,"Detection","Auto",9.83
251,"2024-04-19 15:21:00","CCD","AMN","POST",14,"C","DW 241",0.6,"Detection","Auto",14.32
252,"2024-04-19 15:21:00","CCD","AMN","POST",14,"C","DW 241",1.4,"Detection","Auto",33.03
253,"2024-04-19 15:21:00","CCD","AMN","POST",14,"C","DW 241",2.4,"Detection","Auto",45
254,"2024-04-19 15:21:00","CCD","AMN","POST",14,"C","DW 241",1.2,"Detection","Auto",27.79
255,"2024-04-19 15:21:00","CCD","AMN","POST",14,"C","DW 241",1.9,"Detection","Auto",44.25
256,"2024-04-19 15:21:00","CCD","AMN","POST",14,"C","DW 241",0.9,"Detection","Auto",19.56
