Session;Date;Treatment;Protocol;Stage;Trial;ID;Latency;Reason;Mode;Scoring;Force;TargetForce;RampDuration;CutoffTime;LegacyMode;TouchPause;TouchForce;TimeThreshold
3264;07/03/2025 14:13:44;CCD;AMN;POST;TEST;DW369;2.0;Detection;Ramp;Auto;20.86;60.00;6;5;OFF;1.2;0.3;0.0
3265;07/03/2025 14:14:21;CCD;AMN;POST;TEST;DW369;0.2;Detection;Ramp;Auto;2.62;60.00;6;5;OFF;1.2;0.3;0.0
3266;07/03/2025 14:14:47;CCD;AMN;POST;TEST;DW369;3.4;Detection;Ramp;Auto;33.47;60.00;6;5;OFF;1.2;0.3;0.0
3267;07/03/2025 14:14:59;CCD;AMN;POST;TEST;DW369;3.8;Detection;Ramp;Auto;37.45;60.00;6;5;OFF;1.2;0.3;0.0
3268;07/03/2025 14:15:06;CCD;AMN;POST;TEST;DW369;0.3;Detection;Ramp;Auto;4.28;60.00;6;5;OFF;1.2;0.3;0.0
3269;07/03/2025 14:18:10;CCD;AMN;POST;TEST;DW369;0.0;Manual Stop;Ramp;Auto;0.63;60.00;6;5;OFF;1.2;0.3;0.0
3270;07/03/2025 14:18:13;CCD;AMN;POST;TEST;DW369;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3271;07/03/2025 14:18:22;CCD;AMN;POST;TEST;DW369;0.2;Manual Stop;Ramp;Auto;2.29;60.00;6;5;OFF;1.2;0.3;0.0
3272;07/03/2025 14:18:46;CCD;AMN;POST;TEST;DW369;0.4;Detection;Ramp;Auto;4.28;60.00;6;5;OFF;1.2;0.3;0.0
3273;07/03/2025 14:19:00;CCD;AMN;POST;TEST;DW369;11.0;Cutoff;Ramp;Auto;60.00;60.00;6;5;OFF;1.2;0.3;0.0
3274;07/03/2025 14:19:06;CCD;AMN;POST;TEST;DW369;0.1;Manual Stop;Ramp;Auto;1.29;60.00;6;5;OFF;1.2;0.3;0.0
3275;07/03/2025 14:19:10;CCD;AMN;POST;TEST;DW369;0.2;Detection;Ramp;Auto;2.29;60.00;6;5;OFF;1.2;0.3;0.0
3276;07/03/2025 14:23:02;CCD;AMN;POST;I;DW369;1.7;Detection;Ramp;Auto;16.88;60.00;6;5;OFF;1.2;0.3;0.0
3277;07/03/2025 14:25:32;CCD;AMN;POST;C;DW369;0.2;Detection;Ramp;Auto;2.95;60.00;6;5;OFF;1.2;0.3;0.0
3278;07/03/2025 14:26:17;CCD;AMN;POST;C;DW369;3.0;Detection;Ramp;Auto;31.15;60.00;6;5;OFF;1.2;0.3;0.0
3279;07/03/2025 14:26:32;CCD;AMN;POST;C;DW369;5.5;Detection;Ramp;Auto;55.69;60.00;6;5;OFF;1.2;0.3;0.0
3280;07/03/2025 14:26:47;CCD;AMN;POST;C;DW369;4.2;Detection;Ramp;Auto;40.76;60.00;6;5;OFF;1.2;0.3;0.0
3281;07/03/2025 14:26:59;CCD;AMN;POST;C;DW369;0.7;Detection;Ramp;Auto;7.60;60.00;6;5;OFF;1.2;0.3;0.0
3282;07/03/2025 14:27:17;CCD;AMN;POST;C;DW369;5.1;Detection;Ramp;Auto;50.71;60.00;6;5;OFF;1.2;0.3;0.0
3283;07/03/2025 14:27:38;CCD;AMN;POST;C;DW369;4.3;Detection;Ramp;Auto;43.75;60.00;6;5;OFF;1.2;0.3;0.0
3284;07/03/2025 14:27:58;CCD;AMN;POST;C;DW369;0.4;Detection;Ramp;Auto;4.61;60.00;6;5;OFF;1.2;0.3;0.0
3285;07/03/2025 14:29:08;CCD;AMN;POST;C;DW369;0.3;Manual Stop;Ramp;Auto;2.95;60.00;6;5;OFF;1.2;0.3;0.0
3286;07/03/2025 14:29:14;CCD;AMN;POST;C;DW369;1.8;Detection;Ramp;Auto;18.87;60.00;6;5;OFF;1.2;0.3;0.0
3287;07/03/2025 14:29:27;CCD;AMN;POST;C;DW369;4.0;Detection;Ramp;Auto;39.44;60.00;6;5;OFF;1.2;0.3;0.0
3288;07/03/2025 14:29:48;CCD;AMN;POST;C;DW369;3.4;Detection;Ramp;Auto;35.13;60.00;6;5;OFF;1.2;0.3;0.0
3289;07/03/2025 14:30:07;CCD;AMN;POST;C;DW369;6.3;Detection;Ramp;Auto;60.00;60.00;6;5;OFF;1.2;0.3;0.0
3290;07/03/2025 14:30:53;CCD;AMN;POST;C;DW369;3.4;Detection;Ramp;Auto;33.47;60.00;6;5;OFF;1.2;0.3;0.0
3291;07/03/2025 14:31:23;CCD;AMN;POST;C;DW369;3.3;Detection;Ramp;Auto;33.47;60.00;6;5;OFF;1.2;0.3;0.0
3292;07/03/2025 14:32:06;CCD;AMN;POST;C;DW369;11.0;Cutoff;Ramp;Auto;60.00;60.00;6;5;OFF;1.2;0.3;0.0
3293;07/03/2025 14:32:21;CCD;AMN;POST;C;DW369;4.4;Detection;Ramp;Auto;44.74;60.00;6;5;OFF;1.2;0.3;0.0
3294;07/03/2025 14:35:39;CCD;AMN;POST;I;DW369;1.7;Detection;Ramp;Auto;17.22;60.00;6;5;OFF;1.2;0.3;0.0
3295;07/03/2025 14:36:04;CCD;AMN;POST;I;DW369;3.2;Detection;Ramp;Auto;32.14;60.00;6;5;OFF;1.2;0.3;0.0
3296;07/03/2025 14:36:52;CCD;AMN;POST;I;DW369;1.1;Detection;Ramp;Auto;11.91;60.00;6;5;OFF;1.2;0.3;0.0
3297;07/03/2025 14:37:54;CCD;AMN;POST;I;DW369;0.2;Detection;Ramp;Auto;2.62;60.00;6;5;OFF;1.2;0.3;0.0
3298;07/03/2025 14:38:01;CCD;AMN;POST;I;DW369;2.6;Detection;Ramp;Auto;25.84;60.00;6;5;OFF;1.2;0.3;0.0
3299;07/03/2025 14:38:39;CCD;AMN;POST;I;DW369;1.4;Detection;Ramp;Auto;13.90;60.00;6;5;OFF;1.2;0.3;0.0
3300;07/03/2025 14:39:02;CCD;AMN;POST;I;DW369;0.2;Detection;Ramp;Auto;2.29;60.00;6;5;OFF;1.2;0.3;0.0
